Importance,Feature
22.39,D'dimer (ng/mL)
9.07,Partial Thromboplastin Time (s)
6.7,Fibrinogen (mg/mL)
6.11,Clotting Rate (Pa/s)
5.94,Max Stiffness (Pa)
5.56,Injury Severity Score
5.19,Abbreviated Injury Scale Head
4.4,Prothrombin Time(s)
4.07,Confocal Area (%)
3.64,Temperature (°C)
3.6,Confocal Pore Diameter (μm)
3.39,tPA (pg/mL)
3.23,Systolic BP (mmHg)
3.05,Turbidity T to Half Max (s)
3.05,Diastolic BP (mmHg)
3.03,Glasgow Coma Score
2.83,Lactate (mmol/L)
2.09,Revised Trauma Score
1.36,Lysis at One Hour (%)
1.31,hgb
